,Nom_Districte,Nom_Barri,Sexe,Nombre,Edat
473,Horta-Guinardó,la Font d'en Fargues,Dones,28,6
474,Horta-Guinardó,el Carmel,Dones,124,6
475,Horta-Guinardó,la Teixonera,Dones,36,6
476,Horta-Guinardó,Sant Genís dels Agudells,Dones,26,6
477,Horta-Guinardó,Montbau,Dones,11,6
478,Horta-Guinardó,la Vall d'Hebron,Dones,21,6
479,Horta-Guinardó,la Clota,Dones,5,6
480,Horta-Guinardó,Horta,Dones,94,6
481,Nou Barris,Vilapicina i la Torre Llobeta,Dones,98,6
482,Nou Barris,Porta,Dones,113,6
483,Nou Barris,el Turó de la Peira,Dones,77,6
484,Nou Barris,Can Peguera,Dones,11,6
485,Nou Barris,la Guineueta,Dones,52,6
